ID,DR,Gaia,RAhRAmRAs,DEdDEmDEs,Gmag,GBPmag,GRPmag,N,RMS,Mm,n_
W2384,DR2,6045466537026921600,162335.91,-262918.3,16.93,17.32,15.98,3596,9.40,1.000,
W2385,DR2,6045466537026938112,162335.92,-262900.9,17.58,17.96,16.66,3640,9.01,1.000,
W2386,DR2,6045478558624847488,162335.93,-262620.9,13.05,13.71,12.25,3693,0.51,1.000,
W2387,DR2,6045502335564028800,162335.93,-262308.0,18.54,19.07,17.63,3614,10.34,1.000,
W2388,DR2,6045466502657651968,162335.94,-262940.9,16.43,16.55,15.35,3622,13.16,1.000,
W2389,DR2,6045503194557536256,162335.95,-262223.2,18.34,18.89,17.46,3611,7.20,1.000,
W2390,DR2,6045466605737059712,162335.95,-262851.3,18.39,18.31,17.24,3575,46.05,1.000,
W2391,DR2,6045466537026941440,162335.95,-262856.6,16.77,17.26,16.03,3627,4.38,1.000,
W2392,DR2,6045503194557544192,162335.97,-262214.5,18.48,19.07,17.61,3617,8.88,0.001,
W2393,DR2,6045466605737123200,162335.97,-262826.1,17.81,18.25,16.98,1214,160.13,1.000,
W2394,DR2,6045502271156132608,162336.00,-262410.1,17.89,17.96,16.73,3612,5.82,1.000,
W2395,DR2,6045478459848850304,162336.01,-262722.0,18.47,18.34,16.96,3579,27.19,1.000,
W2396,DR2,6045466605737098496,162336.03,-262835.6,17.74,17.95,16.70,1049,171.38,1.000,
W2397,DR2,6045478562936235008,162336.04,-262545.0,17.95,18.50,17.11,3559,48.12,0.014,
W2398,DR2,6045502030631545856,162336.06,-262520.3,19.08,19.47,18.05,3576,20.02,1.000,
W2399,DR2,6045466502657718528,162336.06,-262924.1,17.05,17.13,15.85,2572,188.56,1.000,
W2400,DR2,6045503301948325888,162336.07,-262113.0,16.67,17.19,15.93,3571,3.45,1.000,
W2401,DR2,6045466605746440960,162336.08,-262819.6,17.97,18.38,17.11,3620,10.85,1.000,
W2402,DR2,6045466537027041408,162336.08,-262853.1,17.49,17.92,16.68,3639,8.53,1.000,
W2403,DR2,6045478489905371776,162336.09,-262637.5,18.20,18.49,17.19,3626,7.75,0.000,
W2404,DR2,6045466502667158016,162336.09,-262943.1,16.43,16.65,15.37,3661,6.48,1.000,
W2405,DR2,6045466605746422272,162336.10,-262849.9,18.41,18.37,17.09,3589,37.30,1.000,
W2406,DR2,6045502030637947520,162336.10,-262506.7,16.78,17.53,15.88,3647,2.04,0.000,
W2407,DR2,6045466605737109504,162336.10,-262833.0,19.16,19.10,17.88,746,343.92,1.000,
W2408,DR2,6045466605746431360,162336.10,-262838.3,16.29,16.76,15.52,2983,143.34,1.000,
W2409,DR2,6045466537018165376,162336.13,-262900.8,18.75,19.09,17.76,3623,18.16,1.000,
W2410,DR2,6045478494216737152,162336.17,-262644.1,16.87,17.38,16.09,3614,2.47,1.000,
W2411,DR2,6045466605746444032,162336.18,-262809.5,18.18,18.34,16.69,3603,13.88,1.000,
W2412,DR2,6045478494216477056,162336.18,-262638.6,18.50,18.89,,3616,12.49,1.000,
W2413,DR2,6045502236790001536,162336.18,-262450.6,18.77,19.19,17.73,3629,11.98,1.000,
W2414,DR2,6045502271156128512,162336.18,-262418.4,18.50,19.00,17.59,3631,9.69,1.000,
W2415,DR2,6045478494216480896,162336.19,-262632.7,16.27,16.81,15.52,3616,2.80,1.000,
W2416,DR2,6045466708816377216,162336.21,-262758.9,18.80,19.04,17.75,3578,38.75,1.000,
W2417,DR2,6045478459856998016,162336.21,-262656.7,16.75,17.21,15.87,3639,1.94,1.000,
W2418,DR2,6045466605746444160,162336.22,-262811.5,16.76,17.14,15.95,3603,3.83,1.000,
W2419,DR2,6045466502657673344,162336.26,-262932.5,16.64,17.03,15.81,1697,135.29,1.000,
W2420,DR2,6045502236796383104,162336.27,-262447.7,18.02,18.53,17.17,3626,6.20,1.000,
W2421,DR2,6045466708825666176,162336.27,-262742.6,16.03,16.46,15.11,3650,1.44,1.000,
W2422,DR2,6045466605746423552,162336.27,-262847.0,16.91,17.36,16.15,3629,9.05,1.000,
W2423,DR2,6045466502657616512,162336.28,-262943.8,18.01,17.67,16.42,3649,16.14,1.000,
W2424,DR2,6045466708816388608,162336.29,-262738.5,18.28,18.60,17.37,3609,26.77,1.000,
W2425,DR2,6045466537017495296,162336.30,-262911.8,19.04,19.34,18.00,3623,33.44,0.000,
W2426,DR2,6045466708816378624,162336.32,-262754.8,14.84,15.48,13.94,3616,0.62,0.009,
W2427,DR2,6045466502657616640,162336.33,-262944.4,18.03,17.94,16.63,3652,13.80,1.000,
W2428,DR2,6045466502667172992,162336.34,-262925.4,17.80,18.21,16.95,707,242.95,1.000,
W2429,DR2,6045466605737131136,162336.36,-262819.5,18.26,18.59,17.34,3622,11.92,1.000,
W2430,DR2,6045503233228839168,162336.38,-262152.3,16.90,17.40,16.15,3591,3.60,1.000,
W2431,DR2,6045466605746443008,162336.38,-262812.2,17.07,17.53,16.30,3599,5.03,1.000,
W2432,DR2,6045466605737086720,162336.40,-262839.4,18.97,19.17,17.86,766,375.41,1.000,
W2433,DR2,6045466502657654528,162336.41,-262934.0,15.83,16.39,14.95,3616,22.02,1.000,
W2434,DR2,6045502236796381824,162336.41,-262450.4,18.78,19.25,17.78,3632,12.32,1.000,
W2435,DR2,6045466708816386048,162336.44,-262743.9,18.55,18.79,17.48,3620,23.89,1.000,
